Name,Assignment,Name reviewer1,Review score1,Name reviewer2,Review score2,Name reviewer3,Review score3
Sarah,3,Anna,10,Tiffany,8,Martha,6
Tiffany,3,Martha,10,Somi,8,Sarah,5
Tiffany,4,Sarah,10,Martha,7,Matthew,5
Somi,4,Tiffany,10,Sarah,7,Anna,4
Eve,4,Somi,10,Tiffany,7,Martha,3
Matthew,5,Martha,10,Anna,6,Sarah,3
Anna,5,Sarah,10,Martha,6,Tiffany,2
Martha,5,Tiffany,10,Sarah,6,Somi,1
Matthew,6,Sarah,10,Martha,5,Anna,1
Anna,6,Tiffany,10,Sarah,5,Martha,0
Sarah,13,Anna,9,Tiffany,7,Martha,5
Tiffany,13,Martha,9,Somi,7,Sarah,4
Sarah,14,Martha,9,Anna,6,Somi,4
Tiffany,14,Sarah,9,Martha,6,Matthew,3
Somi,14,Tiffany,9,Sarah,6,Anna,2
Simon,15,Matthew,9,John,5,Anna,2
John,15,Anna,9,Matthew,5,Martha,1
Matthew,15,Martha,9,Anna,5,Sarah,0
Eve,16,Simon,9,Tom,4,Dan,0
Matthew,22,Martha,8,Anna,6,Sarah,4
Anna,22,Sarah,8,Martha,6,Tiffany,3
Eve,23,Dan,8,Tom,5,Simon,3
Tom,23,Simon,8,Dan,5,John,2
Dan,23,John,8,Simon,5,Matthew,1
Somi,24,Sarah,8,Eve,4,Tiffany,1
Eve,24,Tiffany,8,Tom,4,Somi,0
Anna,30,Tiffany,7,Sarah,5,Martha,3
Simon,30,Matthew,7,John,5,Anna,2
Tiffany,31,Tom,7,Eve,4,Martha,2
Somi,31,Dan,7,Tom,4,Sarah,1
Eve,31,Simon,7,Dan,4,Tiffany,0
Matthew,32,Anna,7,Martha,3,Sarah,0
Tom,37,Simon,6,Dan,4,John,2
Dan,37,John,6,Simon,4,Matthew,1
Tiffany,38,Martha,6,Somi,3,Sarah,1
Somi,38,Sarah,6,Eve,3,Tiffany,0
Matthew,43,Martha,5,Anna,3,Sarah,1
Anna,43,Sarah,5,Martha,3,Tiffany,0
Sarah,44,Somi,5,Tiffany,2,Eve,0
Tiffany,48,Tom,4,Eve,2,Martha,0
