Name,Assignment,Name reviewer1,Review score1,Name reviewer2,Review score2,Name reviewer3,Review score3
Anna,1,Martha,10,Sarah,10,Tiffany,7
Martha,1,Sarah,10,Tiffany,10,Somi,6
Sarah,1,Tiffany,10,Somi,10,Eve,5
Tiffany,1,Somi,10,Eve,10,Tom,4
Somi,1,Eve,10,Tom,10,Dan,3
Eve,1,Tom,10,Dan,10,Simon,2
Tom,1,Dan,10,Simon,10,John,1
Dan,1,Simon,10,John,10,Matthew,0
Martha,2,Tiffany,10,Sarah,9,Somi,6
Sarah,2,Somi,10,Tiffany,9,Eve,5
Tiffany,2,Eve,10,Somi,9,Tom,4
Somi,2,Tom,10,Eve,9,Dan,3
Eve,2,Dan,10,Tom,9,Simon,2
Tom,2,Simon,10,Dan,9,John,1
Dan,2,John,10,Simon,9,Matthew,0
Somi,3,Sarah,10,Eve,8,Tiffany,4
Eve,3,Tiffany,10,Tom,8,Somi,3
Tom,3,Somi,10,Dan,8,Eve,2
Dan,3,Eve,10,Simon,8,Tom,1
Simon,3,Tom,10,John,8,Dan,0
Sarah,4,Martha,10,Anna,7,Dan,6
Tom,4,Eve,10,Somi,7,Sarah,2
Dan,4,Tom,10,Eve,7,Tiffany,1
Simon,4,Dan,10,Tom,7,Somi,0
Simon,5,Matthew,10,John,6,Anna,5
John,5,Anna,10,Matthew,6,Martha,4
Sarah,5,Somi,10,Tiffany,6,Eve,0
Eve,6,Simon,10,Tom,5,Dan,4
Tom,6,John,10,Dan,5,Simon,3
Dan,6,Matthew,10,Simon,5,John,2
Simon,7,Matthew,10,John,4,Anna,3
John,7,Anna,10,Matthew,4,Martha,2
Matthew,7,Martha,10,Anna,4,Sarah,1
Anna,7,Sarah,10,Martha,4,Tiffany,0
Tiffany,8,Tom,10,Eve,3,Martha,2
Somi,8,Dan,10,Tom,3,Sarah,1
Eve,8,Simon,10,Dan,3,Tiffany,0
Simon,9,John,10,Matthew,2,Anna,1
John,9,Matthew,10,Anna,2,Martha,0
Matthew,10,Anna,10,Martha,1,Sarah,0
Sarah,11,Tiffany,9,Somi,9,Eve,6
Tiffany,11,Somi,9,Eve,9,Tom,5
Somi,11,Eve,9,Tom,9,Dan,4
Eve,11,Tom,9,Dan,9,Simon,3
Tom,11,Dan,9,Simon,9,John,2
Dan,11,Simon,9,John,9,Matthew,1
Matthew,11,Martha,9,Anna,9,Sarah,0
Sarah,12,Somi,9,Tiffany,8,Eve,5
Tiffany,12,Eve,9,Somi,8,Tom,4
Somi,12,Tom,9,Eve,8,Dan,3
Eve,12,Dan,9,Tom,8,Simon,2
Tom,12,Simon,9,Dan,8,John,1
Dan,12,John,9,Simon,8,Matthew,0
Somi,13,Sarah,9,Eve,7,Tiffany,3
Eve,13,Tiffany,9,Tom,7,Somi,2
Tom,13,Somi,9,Dan,7,Eve,1
Dan,13,Eve,9,Simon,7,Tom,0
Simon,14,Tom,9,John,6,Dan,5
Eve,14,Somi,9,Tiffany,6,Martha,1
Tom,14,Eve,9,Somi,6,Sarah,0
Dan,15,Tom,9,Eve,5,Tiffany,4
Simon,15,Dan,9,Tom,5,Somi,3
Anna,16,Sarah,9,Martha,4,Tiffany,3
Martha,16,Tiffany,9,Sarah,4,Somi,2
Sarah,16,Somi,9,Tiffany,4,Eve,1
Tom,17,John,9,Dan,3,Simon,2
Dan,17,Matthew,9,Simon,3,John,1
Matthew,17,Sarah,9,Martha,3,Anna,0
Anna,18,Tiffany,9,Sarah,2,Martha,1
Simon,18,Matthew,9,John,2,Anna,0
John,19,Anna,9,Matthew,1,Martha,0
Tiffany,20,Tom,8,Eve,8,Martha,5
Somi,20,Dan,8,Tom,8,Sarah,4
Eve,20,Simon,8,Dan,8,Tiffany,3
Simon,20,John,8,Matthew,8,Anna,2
John,20,Matthew,8,Anna,8,Martha,1
Matthew,20,Anna,8,Martha,8,Sarah,0
Sarah,21,Tiffany,8,Somi,7,Eve,4
Tiffany,21,Somi,8,Eve,7,Tom,3
Somi,21,Eve,8,Tom,7,Dan,2
Eve,21,Tom,8,Dan,7,Simon,1
Tom,21,Dan,8,Simon,7,John,0
Martha,22,Tiffany,8,Sarah,6,Somi,2
Sarah,22,Somi,8,Tiffany,6,Eve,1
Tiffany,22,Eve,8,Somi,6,Tom,0
Somi,23,Tom,8,Eve,5,Dan,4
Martha,23,Matthew,8,Sarah,5,Anna,0
Sarah,24,Anna,8,Tiffany,4,Martha,3
Tiffany,24,Martha,8,Somi,4,Sarah,2
Tom,25,Somi,8,Dan,3,Eve,2
Dan,25,Eve,8,Simon,3,Tom,1
Simon,25,Tom,8,John,3,Dan,0
Sarah,26,Martha,8,Anna,2,Dan,1
Tiffany,26,Sarah,8,Martha,2,Matthew,0
Somi,27,Tiffany,8,Sarah,1,Anna,0
Dan,28,Tom,7,Eve,7,Tiffany,4
Simon,28,Dan,7,Tom,7,Somi,3
Simon,28,Matthew,7,John,7,Anna,2
John,28,Anna,7,Matthew,7,Martha,1
Matthew,28,Martha,7,Anna,7,Sarah,0
Sarah,29,Somi,7,Tiffany,6,Eve,3
Eve,29,Simon,7,Tom,6,Dan,2
Tom,29,John,7,Dan,6,Simon,1
Dan,29,Matthew,7,Simon,6,John,0
John,30,Anna,7,Matthew,5,Martha,1
Matthew,30,Martha,7,Anna,5,Sarah,0
Anna,31,Sarah,7,Martha,4,Tiffany,3
Simon,32,John,7,Matthew,3,Anna,2
John,32,Matthew,7,Anna,3,Martha,1
Anna,33,Martha,7,Sarah,2,Tiffany,1
Martha,33,Sarah,7,Tiffany,2,Somi,0
Sarah,34,Tiffany,7,Somi,1,Eve,0
Eve,35,Tom,6,Dan,6,Simon,3
Tom,35,Dan,6,Simon,6,John,2
Dan,35,Simon,6,John,6,Matthew,1
Matthew,35,Martha,6,Anna,6,Sarah,0
Sarah,36,Somi,6,Tiffany,5,Eve,2
Tiffany,36,Eve,6,Somi,5,Tom,1
Somi,36,Tom,6,Eve,5,Dan,0
Martha,37,Matthew,6,Sarah,4,Anna,0
Sarah,38,Anna,6,Tiffany,3,Martha,2
Eve,39,Tiffany,6,Tom,2,Somi,1
Tom,39,Somi,6,Dan,2,Eve,0
Dan,40,Eve,6,Simon,1,Tom,0
Tiffany,41,Sarah,5,Martha,5,Matthew,2
Somi,41,Tiffany,5,Sarah,5,Anna,1
Eve,41,Somi,5,Tiffany,5,Martha,0
Simon,42,Dan,5,Tom,4,Somi,1
Simon,42,Matthew,5,John,4,Anna,0
Martha,44,Tiffany,5,Sarah,2,Somi,1
Eve,45,Simon,5,Tom,1,Dan,0
Matthew,46,Sarah,4,Martha,4,Anna,1
Anna,46,Tiffany,4,Sarah,4,Martha,0
Matthew,47,Martha,4,Anna,3,Sarah,0
Somi,49,Dan,4,Tom,1,Sarah,0
Dan,50,Simon,3,John,3,Matthew,0
